number,question,optionA,optionB,optionC,optionD,optionE,optionF,answer,explanation
QUESTION NO: 11,"What should an app builder consider when choosing a template for a new Lightning record
page?",A. The template is unable to be changed after the initial save.,"B. To view the record page, users need ""View All Data"" permissions for the object.",C. A Page structure will automatically adapt to the device being used to view the record page.,,,,C,"A template for a new Lightning record page determines how the page is divided into regions.
The template is responsive and will automatically adapt to the device being used to view the
record page. The template can be changed after the initial save, and users do not need
""View All Data"" permissions for the object"
QUESTION NO: 12,"Universal Containers deployed an app in a large change set from a Developer Sandbox to a
Developer Pro Sandbox used for testing. After testing, changes had to be made to several of
the components in the change set.
How should an app builder move the new changes to the Developer Pro Sandbox?",A. Refresh the text sandbox and re_display the change set.,B. Clone the change set and re_display,"C. Rename the change set, add the changes and re_display",,,,D,"Updating the existing change set with the new changes and redeploying is the most efficient
way to move the updated components to the Developer Pro Sandbox.
References:
Salesforce Help - Change Sets"
QUESTION NO: 13,"The VP of Sales wants a Chatter post to the All-Sales private group when an opportunity
goes to the closed won stage.
What two tools should the app builder use to automate this process? Choose 2 answers",A. Flow,B. Process Builder,C. Big Deal Alert,,,,"B,D","The app builder should use two tools to automate this process:
Process Builder: This is a type of automation tool that can execute actions based on certain
criteria. In this case, the process builder can have a criteria that evaluates if an opportunity
goes to the closed won stage, and then execute an action that posts a message to a Chatter
group.
Workflow: This is another type of automation tool that can execute actions based on certain
criteria. In this case, the workflow can have a criteria that evaluates if an opportunity goes to
the closed won stage, and then execute an action that posts a message to a Chatter group.
Option A and C are not tools that can automate this process."
QUESTION NO: 14,What is one limitation of using schema builder when creating a field?,A. Cannot create formula fields.,B. Cannot see existing relationships between objects.,C. Cannot add fields to page layouts.,,,,C,"One of the limitations when using the Schema Builder for creating fields is:
C . Cannot add fields to page layouts. While Schema Builder allows for easy visualization
and creation of fields and objects, it does not support placing these fields onto specific page
layouts directly from the Schema Builder interface.
To place fields on page layouts, you need to:
Navigate to Setup → Object Manager → select your object.
Click on Page Layouts, choose the appropriate layout, and manually add the newly created
fields.
This step is necessary to ensure fields are visible and properly arranged on user interfaces.
For more details, Salesforce's Schema Builder documentation outlines its capabilities and
limitations."
QUESTION NO: 15,"Universal Containers created a 'New Task' custom action on the Opportunity object. The
action was added to all page layouts in the Mobile & Lightning Actions section.
Which Lightning component should the app builder add to the layout to display the action?",A. Related record,B. Related lists,C. Highlights panel,,,,C,"The best Lightning component to add to the layout to display the 'New Task' custom action is
Highlights panel. This component shows key information and actions for a record, such as its
name, owner, and custom actions. Related record, related lists, and activities are not
Lightning components that display custom actions. See [this article] for more information on
Highlights panel."
QUESTION NO: 16,"Universal Containers would like to collaborate with its customers within Salesforce, and has
decided to enable the ""Allow Customer Invitations"" Chatter setting. What permission is
granted to Customers when invited to ChatterGroup?",A. The ability to invite members to groups of which they are a member,B. The ability to @mention accounts of which they are a contact.,C. The ability to request access to public groups,,,,D,"Customers who are invited to Chatter groups can only interact with members of their groups.
They cannot invite other members, @mention accounts, or request access to public groups"
QUESTION NO: 17,"Ursa Major Solar (UMS) uses Cases to track customer complaints, an Issue__c object to
represent known problems with its solar panels, and a Case_Issue__c junction object to
relate known problems to customer complaints.
Periodically, UMS conducts audits which require the auditing users to view Case _Issue__c
records.
Which access levels must be configured to allow UMS users to access Case _Issue_c
records?",A. Read-Only access or issue_c and_issue_c,B. Read-Only access of Case issue =,C. Read Only access on Case and case_issue__o,,,,D,"To ensure auditing users can access records in the Case_Issue__c junction object, the
correct data permissions on related records must be established:
D . Read-Only access on Case and Issue__c. Users need read-only access to both Case and
Issue__c objects to view associated Case_Issue__c junction object records properly. This is
because access to junction object records in Salesforce is determined by the user's access
levels to the parent records in a relationship.
Steps to configure access:
Navigate to Setup → Profiles or Permission Sets.
Select the profile or permission set of the auditing users.
Under Object Settings, adjust the permissions for Case and Issue__c to at least 'Read-Only'.
Ensure that users have visibility to the Case_Issue__c object itself.
This configuration allows users to view the details of cases and issues as they audit the
junction object records."
QUESTION NO: 18,"An app builder at Northern Trad Outfitters created a sandbox template for Accounts, Projects,
and Project Milestones to reconfigure some flows for the project management app.
Which type of testing environment should the app builder create?",A. Developer,B. Partial Copy,C. Developer Pro,,,,B,"Partial Copy is the type of testing environment that the app builder should create to use a
sandbox template for Accounts, Projects, and Project Milestones. According to the
Salesforce documentation, ""Partial Copy sandboxes copy your production org's configuration
(metadata) and some of your production org's data as defined by a sandbox template.""
Developer, Developer Pro, and Scratch Org are not types of testing environments that
support sandbox templates."
QUESTION NO: 19,"Cloud Kicks (CK) increased its Salesforce development efforts so that it now has multiple
custom development efforts happening in parallel. CK's developers and admins perform the
custom (rations and have complained that working in one sandbox has led to many
problems. They requested a solution in which they can work in at least 20 different
sandboxes at once, that all start with the same base configuration and data.
What should an app builder use to solve the problem?",A. Sandbox refreshes,B. Full copy sandboxes,C. Partial copy sandboxes,,,,C,"Partial Copy Sandboxes are ideal for testing and development purposes as they include a
subset of production data and can be refreshed more frequently than Full Copy sandboxes.
References:
Salesforce Help - Types of Sandboxes"
QUESTION NO: 20,"Universal Containers (UC) has created a picklist field called Status on three separate custom
objects. UC has a requirement to share the list of values for this field across each object.
Which feature would an app builder use?",A. Field Update,B. Global Picklist Value Set,C. Dynamic Action,,,,B,"The app builder should use a global picklist value set to share the list of values for the Status
field across each object. A global picklist value set is a set of values that can be used by
multiple picklist fields on different objects. This can ensure data consistency and reduce
maintenance efforts. Option A, C, and D are not features that can share picklist values across
objects."
QUESTION NO: 21,"Universal Containers manages leads in a Lead qualification queue where sales reps can
accept ownership of the Lead. Campaign members are required to have a sales owner.
What validation rule should an app builder configure?",A. AND( ISBLANK(Lead.Owner.Id) ),B. NOT(ISNEW() && ISBLANK(Lead.Owner:Queue.Id)),"C. AND(ISNEW(), ISBLANK(Lead.Owner:User.Id))",,,,C,"The validation rule should be AND(ISNEW(), ISBLANK(Lead.Owner:User.Id)). This rule will
prevent saving a new lead record if the owner is not a user. This will ensure that campaign
members have a sales owner. Option A is incorrect because it will prevent saving any lead
record if the owner is blank, which is not the requirement. Option B is incorrect because it will
prevent saving an existing lead record if the owner is a queue, which is not the requirement.
Option D is incorrect because it will prevent saving any lead record if the owner is a queue,
which is not the requirement."
QUESTION NO: 22,"Universal Containers implemented an application process that uses custom objects
Internships and Applications. The organization-wide default for Internships has been set to
private and is the master in the master-detail relationship with Applications. The VP of HR
wants to allow edit access to Applications to recruiters.
How should an app builder configure the proper access?",A. Set the organization-wide default on the Applications object to Read/Write.,B. Add a sharing rule that grants the users Read/Write access to the Internship records.,C. Create a queue for the web applications and assign access to the users who will be editing the records.,,,,D,"The app builder should create a sharing rule that grants the users Read/Write access to the
Application records. A sharing rule is a type of rule that can extend record access to groups
of users based on certain criteria. In this case, the app builder can create a sharing rule that
grants Read/Write access to the Application object to the recruiters based on their role, public
group, or queue. This will allow them to edit the Application records related to any Internship
record, regardless of the ownership. Option A, B, and C are not ways to configure the proper
access."
QUESTION NO: 23,"An app builder has a custom component they want to make available on the utility bar, but
the component is unavailable.
How should the component be tagged?",A. For use on record pages.,B. For use in Lightning App Builder.,C. For use on the utility bar.,,,,C,"To make a custom component available for the utility bar in Salesforce, the component needs
to be explicitly tagged for use in the utility bar. Salesforce components require specific
configurations to be available in different parts of the application, such as the utility bar,
record pages, or app pages.
Option C: For use on the utility bar: When a custom Lightning component is developed, it
must include a specific target tag in its .js-meta.xml configuration file that marks it as usable
in the utility bar. This is done by setting the target to ""lightning__UtilityBar"". Without this tag,
the component will not appear as an option to add to the utility bar in the App Manager.
Example of how the component is tagged in the meta.xml file:
xml
Copy code
<targets>
<target>lightning__UtilityBar</target>
</targets>
Reference:
Option A: For use on record pages: This tag makes the component available only on record
pages, but not the utility bar. The component would have a target for lightning__RecordPage
in this case.
Option B: For use in Lightning App Builder: This option would allow the component to be
used in the Lightning App Builder, but it wouldn't make the component available for the utility
bar. App Builder placement is typically for page layouts.
Option D: For use in App Manager: This is incorrect, as App Manager is used for managing
apps and not for tagging components for availability.
In summary, to make the component available for the utility bar, it needs to be specifically
tagged for that purpose using the lightning__UtilityBar target in the component's metadata
file.
Reference:
Utility Bar Metadata Configuration"
QUESTION NO: 24,"Which two features can be used to allow users to access Flows?
Choose 2 answers",A. Quick Action,B. Approval Process,C. Flow Launcher,,,,"A,C","To allow users access to Flows, Salesforce offers multiple integration points:
A . Quick Action: Flows can be initiated from record pages, the app utility bar, or global
actions using Quick Actions. This allows users to execute flows relevant to specific records or
global processes.
C . Flow Launcher: A component available in Lightning App Builder that enables users to
start flows directly from a Lightning page.
Steps to set up these features:
For Quick Actions, navigate to Setup → Object Manager → select object → Buttons, Links, and
Actions → New Action → Action Type (Flow).
For Flow Launcher, navigate to Lightning App Builder → select the page → drag the Flow
component to the desired section of the page → configure it to launch the specific flow.
For more information on integrating Flows, check the Salesforce documentation on Flow
Distribution."
QUESTION NO: 25,"Ursa Major Solar wants to convert the relationship between Galaxy and Star from a lookup
relationship to a master-detail relationship so each Galaxy record can be equipped with a roll-
up summary count of Star records.
Which two considerations should be made?
Choose 2 answers",A. The Star records are all required to have an existing value in their Galaxy field.,B. The Galaxy object has fewer than two existing master-detail relationships.,C. The Galaxy object is required to contain existing roll-up summary fields.,,,,"A,B","The two considerations that should be made are: The Star records are all required to have an
existing value in their Galaxy field. This is a prerequisite for converting a lookup relationship
to a master-detail relationship. A lookup relationship is an optional relationship that links two
objects together, but does not enforce referential integrity or cascade delete. A master-detail
relationship is a required relationship that links two objects together and enforces referential
integrity and cascade delete. To convert a lookup relationship to a master-detail relationship,
all child records must have a value in their lookup field that references an existing parent
record. The Galaxy object has fewer than two existing master-detail relationships. This is
another prerequisite for converting a lookup relationship to a master-detail relationship. An
object can have up to two master-detail relationships with other objects and can act as both
the parent and child in different relationships. To convert a lookup relationship to a master-
detail relationship, the parent object must have fewer than two existing master-detail
relationships with other objects. The Galaxy object is required to contain existing roll-up
summary fields is not a valid consideration, as it is not related to converting a lookup
relationship to a master-detail relationship."
QUESTION NO: 26,"Universal Containers has several new fields they've requested for the Opportunity Product
object.
What should an app builder be able to configure using a formula field?",A. A hyperlink to the parent Account of the parent Opportunity.,B. A Rich Text area field that uses HTML to bold certain characters.,C. A combination of the Opportunity's Text and a Description fields.,,,,C,"Formula fields in Salesforce can use various functions including text, mathematical, and
logical functions to create simple or complex expressions. They can handle data from fields
of the same record. Option C, ""A combination of the Opportunity's Text and a Description
fields,"" is a valid configuration for a formula field as it involves simple concatenation of text
fields, which is supported.
Options A, B, and D exceed the capabilities of formula fields:
A: Hyperlinks to other objects using formula fields do not directly support navigation to parent
records of a different object.
B: Rich Text and HTML formatting are not supported in formula fields.
D: Formula fields have limits in their complexity and field references which would make
mixing numerous fields from different related objects impractical and likely exceed formula
size limits.
Reference: Formula Field Overview on Salesforce Developer Guide"
QUESTION NO: 27,"Cloud Kicks Is redefining its entire business process to convert the Manager Notes field from
a long text area files. The goal is to encourage managers to be more concise In their
comments and stay at 255 characters or less. There is preexisting information In the
Manager Notes field that often is well beyond the character limit.
What would happen to any existing information if the app builder tries to convert a preexisting
long text area field to text area'",A. Preexisting information will truncate to the first 255 characters.,B. Preexisting Information in the field will be completely lost.,C. Preexisting information will remain even if it was over 255 characters.,,,,C,"Preexisting information will remain even if it was over 255 characters if the app builder tries to
convert a preexisting long text area field to text area. However, users will not be able to edit
or save records with more than 255 characters in that field until they reduce the number of
characters. Preexisting information will not truncate, be lost, or cause an error message."
QUESTION NO: 28,"A new app builder on the Cloud Kicks team is getting familiar with relationships in the data
model.
What functionality would present the app builder a comprehensive view of all relationships in
one pi",A. Schema Builder,B. Lightning Object Creator,C. Object Manager,,,,A,"Schema Builder is a tool that presents a comprehensive view of all relationships in one place.
It allows app builders to see how objects are connected and create new relationships.
Lightning Object Creator, Object Manager, and Lightning Record Page are not tools for
viewing relationships, but for creating objects, managing fields, and customizing record
pages respectively."
QUESTION NO: 29,"An app Builder creates an Account validation rule on the Industry field that will throw an error
if the length of the field is longer than 6 characters. Another App Builder creates a workflow
rule with a field update that sets the Industry field to Technology whenever the Billing City
field is set to San Francisco. What will happen the next time a sales person saves an
Account with a Billing City of San Francisco?",A. The record will save and the Industry field will change to Technology,B. The record will not save and the validation rule's error messagewill be displayed,C. The record will not save and no error message will be displayed,,,,B,"The record will not save and the validation rule's error message will be displayed because
the field update will violate the validation rule. The validation rule will prevent the record from
being saved if the Industry field is longer than 6 characters, and Technology is 10 characters
long."
QUESTION NO: 30,"Universal Containers conduct evaluations of their sales reps using a custom object consisting
of numerical scores and executive comments. The company wants to ensure that only the
sales reps, and their manager's executive can view the rep's evaluation record but the reps
should not be able to view the executive comment field on their review. How can these
requirement be met?",A. Use a private sharing model granting record access using hierarchy; manage field access with record types and field-level security,B. Use a private sharing model granting record access using custom setting; manage field access with page layouts and field level security,C. Use a private sharing model granting record access using hierarchy; manage field access with field-level security,,,,C,"To ensure that only the sales reps and their manager's executive can view the rep's
evaluation record but the reps should not be able to view the executive comment field on
their review, a private sharing model granting record access using hierarchy and field-level
security should be used. A private sharing model means that only the owner of a record and
users above them in the role hierarchy can view the record by default. Record access can be
granted to other users using manual sharing, sharing rules, or Apex sharing. Field-level
security controls which fields are visible or editable for different profiles or permission sets."
QUESTION NO: 31,"An app builder wants to add the option to 'Send New Email' from Leads, Contacts and
Accounts for users on mobile.
What is the benefit of using global actions to accomplish this?","A. Global actions can be accessed anywhere actions are pages, feed and Chatter groups,",B. Salesforce Lightning Component Library houses existing global actions prebuild for use.,C. The global action's layout automatically clones the default page layout.,,,,A,"Global actions can be accessed anywhere actions are pages, feed and Chatter groups. This
is correct because global actions are not tied to a specific object, and they can be added to
any page that supports actions, such as record pages, home pages, feed pages, and Chatter
groups."
QUESTION NO: 32,"An app builder is creating a Lightning record page and has added Mobile & Lightning Actions
to the page layout.
What two components could be included on the layout to display the actions?
Choose 2 answers",A. Highlights panel,B. Chatter,C. Activities,,,,"A,D","The two components that could be included on the layout to display the actions are the
Highlights panel and the Path. The Highlights panel is a component that shows key
information and actions for a record. It can display up to 10 actions from the Mobile &
Lightning Actions section of the page layout. The Path is a component that shows the stages
of a process, such as a sales process or a service process. It can display up to 5 actions
from the Mobile & Lightning Actions section of the page layout. The Chatter and Activities
components do not display actions from the Mobile & Lightning Actions section of the page
layout. They display other types of actions, such as posting, commenting, liking, logging a
call, creating a task, or sending an email."
QUESTION NO: 33,"To increase adoption, Universal Containers is proposing changes to its Salesforce data
model to allow easier visibility for sales reps into key metrics. The proposal has three custom
objectsrelated to the Account object, one with a master-detail, and two that are not. Each of
these objects has 15 fields they would like to summarize on the Account object.
What are two considerations for this proposal?
Choose 2 answers","A. Roll-up summaries allow MAX, MIN, SUM, COUNT, and AVG.",B. An object can have 20 object references.,C. An object can have 25 roll-up summaries.,,,,"A,D","Roll-up summaries allow MAX, MIN, SUM, COUNT, and AVG functions on numeric fields
from child records related by a master-detail relationship. Roll-up summaries are limited to
master-detail relationships and cannot be used with lookup relationships. An object can have
up to 40 roll-up summary fields, not 25. An object can have up to 25 relationship fields
(master-detail or lookup), not 20."
QUESTION NO: 34,"Universal Container wants customers to be able to open cases from a public-facing website.
What should the app builder use to enable visitors to the website?",A. Outbound message,B. Web-to-case,C. Screen flow,,,,B,"The app builder should use Web-to-Case to enable visitors to the website to open cases.
Web-to-Case is a feature that allows users to create an HTML form that can be embedded
into a public-facing website. When visitors fill out and submit the form, a new case is
automatically created in Salesforce with the information from the form fields. Web-to-Case
can also assign cases to queues or users based on predefined rules and criteria. Outbound
message is not a valid tool, as it does not enable visitors to open cases. An outbound
message is a type of workflow action that sends a secure XML message to a designated
endpoint URL when a record meets certain criteria. An outbound message can be used to
integrate Salesforce with external systems or applications. Screen flow is not a valid tool, as
it does not enable visitors to open cases from a public-facing website. A screen flow is a type
of flow that allows users to create an interactive guided process that can collect, display, and
update data from multiple objects within Salesforce. A screen flow can be embedded into
Lightning pages or Visualforce pages, but it cannot be exposed to unauthenticated users on
a public website. Email-to-Case is not a valid tool, as it does not enable visitors to open
cases from a website. Email-to-Case is a feature that allows users to create cases from email
messages sent to a specific email address. Email-to-Case can also capture email
attachments and thread information and associate them with the case."
QUESTION NO: 35,"An app builder wants to update a field on the parent record when a child record connected
via lookup is deleted.
What automation should the app builder use?",A. Screen flow,B. Process Builder,C. Apex code,,,,C,"The app builder should use Apex code to update a field on the parent record when a child
record connected via lookup is deleted. Apex code is a programming language that allows
developers to execute complex logic on the Salesforce platform. Apex code can be triggered
by certain events, such as insert, update, delete, or undelete of records. In this case, the app
builder can write an Apex trigger that runs after a child record is deleted and updates a field
on the parent record accordingly. Option A, B, and D are not automation tools that can
perform this task."
QUESTION NO: 36,"A sales rep at AW Computing is unable to find what they are looking for while scrolling
through their Chatter feed.
How can a filter be utilized to show only posts from their key account and opportunity
records?",A. Create a Chatter group.,B. Create Chatter bookmarks,C. Create a Chatter stream.,,,,C,"Create a Chatter stream. This is correct because a Chatter stream allows users to follow
multiple records and people in one feed, and filter the feed by selecting a stream."
QUESTION NO: 37,"An app builder received a request to extend record access beyond the organization-wide
defaults configured. Which two features satisfy this requirement?
Choose 2 answers",A. Sharing Rules,B. Public Groups,C. Permission Set Groups,,,,"A,D","Sharing rules and manual sharing are two features that can extend record access beyond the
organization-wide defaults. Sharing rules are automatic rules that grant access to groups of
users based on certain criteria, such as role, public group, or territory. Manual sharing is a
manual way of granting access to individual users or groups by the record owner or someone
above them in the role hierarchy. Option B and C are not features that extend record access."
QUESTION NO: 38,"A customer service representative at a call center wants to be able to collect information from
customers using a series of question prompts.
What should an app builder use to accomplish this?",A. Approval Process,B. Flow,C. Validation Rule,,,,B,"For a customer service representative to collect information through a series of question
prompts:
B . Flow. Salesforce Flows allow for the creation of guided interactions that can prompt users
for information in a step-by-step manner.
Steps to create a flow for this purpose:
Navigate to Setup → Flows.
Click on 'New Flow' and select a Screen Flow to interactively prompt users.
Design the flow with Screen elements for each question.
Add logic to process responses as necessary.
Save and activate the flow.
Embed or link the flow in a relevant location accessible to the service representative, such as
on a record page or in the utility bar.
Flows provide a flexible and powerful way to interactively gather and process customer data
in real time.
For detailed guidance on creating Flows, see Salesforce's Flow Builder documentation."
QUESTION NO: 39,"DreamHouseRealty (DR) is expanding into subsidized housing by partnering with local
government entitles. DR uses Sales Cloud and has enabled field history tracking on the
Opportunity object. Due to increased Information requirements, the App Dev team is
changing Text Area (Long) fields to Rich Text fields to allow for up to 1,000 characters and
better descriptions.
Which two considerations should be made by the team?
Choose 2 answers",A. Rich text field values of all lengths are displayed fully in reports.,B. Data loss may occur when changing custom field types.,C. Field History Tracking records value changes of 255 characters or less.,,,,"B,C","Changing custom field types may result in data loss if the new field type is incompatible with
the old one. For example, changing a text field to a number field may cause text values to be
deleted. Field history tracking records value changes of 255 characters or less. If a rich text
field value exceeds this limit, only the first 255 characters are tracked."
QUESTION NO: 40,"An app builder has modified a Lightning record page for a case and has added an email
button item to the page layout; however, users are unable to see the new item on the layout.
What are two potential reasons why users are unable to view the item on the Case Lightning
record page?
Choose 2 answers",A. The page layout includes the case feed component.,B. The email button contains JavaScript.,C. The case page layout also contains custom buttons.,,,,"A,B","The email button item will not be visible on the Lightning record page if the page layout
includes the case feed component or if the email button contains JavaScript. The case feed
component replaces the standard buttons on the page layout with actions in the feed. The
email button item will not work if it contains JavaScript because JavaScript buttons are not
supported in Lightning Experience."
QUESTION NO: 41,"When a sales rep submits an account for approval, Universal Containers wants the user to
answer additional questions via a popup window to populate additional record fields.
What should an app builder use to achieve the desired result?",A. Process Builder and Flow,B. Lightning component and Process Builder,C. Custom picklist field and Process Builder,,,,D,"The app builder should use a custom button and Flow to achieve the desired result. A custom
button is a button that can invoke custom logic or actions when clicked by a user. A Flow is a
type of automation tool that can guide users through a series of screens and perform actions
based on user input. In this case, the app builder can create a custom button on the Account
object that launches a Flow when clicked by a user. The Flow can display a popup window
with questions for the user to answer and populate additional fields on the Account record
based on the user input4. Option A, B, and C are not tools that can achieve this result."
QUESTION NO: 42,"A business user wants a quick way to edit a record's status and enter a custom due date field
from the record's feed in Salesforce Mobile App.
What should be used to accomplish this?",A. Custom action,B. Custom button,C. Custom quick access link,,,,A,"To allow quick editing of a record's status and entering a due date from the record's feed in
the Salesforce Mobile App:
A . Custom action. This option enables users to perform specific tasks directly from the
record page in the Salesforce Mobile App, such as editing fields.
Steps to create a custom action:
Navigate to Setup → Object Manager → select the relevant object.
Click Buttons, Links, and Actions → New Action.
Set Action Type to 'Update a Record'.
Configure the action layout to include the Status and Custom Due Date fields.
Add the action to the Salesforce Mobile layout.
This setup provides an efficient way for users to update key fields without navigating away
from the record feed.
For detailed setup instructions, see Salesforce's documentation on Creating Quick Actions."
QUESTION NO: 43,"Universal containers wants to display the real time stock price for each account on the
account record page. How should an app builder implement this request?",A. Add a dynamic report to the page layout,B. Create a lightning webcomponent,C. Install a solution from the appexchange,,,,C,"One of the easiest ways to display real-time stock price for each account is to install a
solution from the AppExchange, such as Stock Price Lightning Component3. This component
can be added to any record page using the Lightning App Builder."
