number,question,optionA,optionB,optionC,answer
NO.14,An AI Specialist wants to use the related lists from an account in a custom prompt template. What should the AI Specialist consider when configuring the prompt template?,"A. The text encoding (for example, UTF-8, ASCII) option",B. The maximum number of related list merge fields,C. The choice between XML and JSON rendering formats for the list,B
NO.15,"Universal Containers tests out a new Einstein Generative AI feature for its sales team to create personalized and contextualized emails for its customers. Sometimes, users find that the draft email contains placeholders for attributes that could have been derived from the recipient's contact record. What is the most likely explanation for why the draft email shows these placeholders?",A. The user does not have Einstein Sales Emails permission assigned.,B. The user does not have permission to access the fields.,C. The user's locale language is not supported by Prompt Builder.,B
NO.16,Universal Containers (UC) uses Salesforce Service Cloud to support its customers and agents handling cases. UC is considering implementing Einstein Copilot and extending Service Cloud to mobile users. When would Einstein Copilot implementation be most advantageous?,A. When the goal is to streamline customer support processes and improve response times,B. When the main objective is to enhance data security and compliance measures,C. When the focus is on optimizing marketing campaigns and strategies,A
NO.17,"Universal Containers wants to allow its service agents to query the current fulfillment status of an order with natural language. There is an existing auto launched flow to query the information from Oracle ERP, which is the system of record for the order fulfillment process. How should an AI Specialist apply the power of conversational AI to this use case?",A. Create a Flex prompt template in Prompt Builder.,B. Create a custom copilot action which calls a flow.,C. Configure the Integration Flow Standard Action in Einstein Copilot.,B
NO.18,"An AI Specialist is tasked with analyzing Agent interactions looking into user inputs, requests, and queries to identify patterns and trends. What functionality allows the AX Specialist to achieve this?",A. User Utterances dashboard,B. Agent Event Logs dashboard,C. AI Audit & Feedback Data dashboard,A
NO.19,The sales team at a hotel resort would like to generate a guest summary about the guests' interests and provide recommendations based on their activity preferences captured in each guest profile. They want the summary to be available only on the contact record page. Which AI capability should the team use?,A. Einstein Copilot,B. Prompt Builder,C. Model Builder,B
NO.20,"Universal Containers (UC) is experimenting with using public Generative AI models and is familiar with the language required to get the information it needs. However, it can be time consuming for both UC's sales and service reps to type in the prompt to get the information they need, and ensure prompt consistency. Which Salesforce feature should a Salesforce AI Specialist recommend to address these concerns?",A. Einstein Recommendation Builder,B. Einstein Copilot Action: Query Records,C. Einstein Prompt Builder and Prompt Templates,C
NO.21,An AI Specialist configured Data Masking within the Einstein Trust Layer. How should the AI Specialist begin validating that the correct fields are being masked?,A. Use a Flow-based resource in Prompt Builder to debug the fields' merge values using Flow Debugger.,B. Request the Einstein Generative AI Audit Data from the Security section of the Setup menu.,C. Enable the collection and storage of Einstein Generative AI Audit Data on the Einstein Feedback setup page.,C
NO.22,How does Secure Data Retrieval ensure that only authorized users can access necessary Salesforce data for dynamic grounding?,"A. Retrieves Salesforce data based on the 'Run As"" users permissions.",B. Retrieves Salesforce data based on the user's permissions executing the prompt.,C. Retrieves Salesforces data based on the Prompt template's object permissions.,B
NO.23,A sales manager is using Agent Assistant to streamline their daily tasks. They ask the agent to Show me a list of my open opportunities. How does the large language model (LLM) in Agentforce identify and execute the action to show the sales manager a list of open opportunities?,"A. The LLM interprets the user's request, generates a plan by identifying the apcMopnete topics and actions, and executes the actions to retrieve and display the open opportunities","B. The LLM uses a static set of rules to match the user's request with predefined topics and actions, bypassing the need for dynamic interpretation and planning.","C. Using a dialog pattern. the LLM matches the user query to the available topic, action and steps then performs the steps for each action, such as retrieving a fast of open opportunities.",A
NO.24,An AI Specialist has grounded a prompt template with a related list. During user acceptance testing (UAT). users are not getting the correct responses. What is causing this issue?,A. The related list is not on the parent object's page layout.,B. The related list is Read Only.,C. The related list prompt template option is not enabled.,C
NO.25,Universal Containers' data science team is hosting a generative large language model (LLM) on Amazon Web Services (AWS). What should the team use to access externally-hosted models in the Salesforce Platform?,A. Model Builder,B. App Builder,C. Copilot Builder,A
NO.26,Universal Containers (UC) is building a Flex prompt template. UC needs to use data returned by the flow in the prompt template. Which flow element should UC use?,A. Add Flow Instructions,B. Add Prompt Instructions,C. Add Flex Instructions,A
NO.27,An AI Specialist wants to include data from the response of external service invocation (REST API callout) into the prompt template. How should the AI Specialist meet this requirement?,A. Convert the JSON to an XML merge field.,B. Use External Service Record merge fields.,"C. Use ""Add Prompt Instructions"" flow element.",B
NO.28,Universal Containers plans to enhance its sales team's productivity using Al. Which specific requirement necessitates the use of Prompt Builder?,A. Predicting the likelihood of customers churning or discontinuing their relationship with the company,B. Creating a draft newsletter for an upcoming tradeshow,C. Creating an estimated Customer Lifetime Value (CLV) with historical purchase data,B
NO.29,"When a customer chat is initiated, which functionality in Salesforce provides generative AI replies or draft emails based on recommended Knowledge articles?",A. Einstein Reply Recommendations,B. Einstein Service Replies,C. Einstein Grounding,B
NO.30,Universal Containers has an active standard email prompt template that does not fully deliver on the business requirements. Which steps should an AI Specialist take to use the content of the standard prompt email template in question and customize it to fully meet the business requirements?,A. Save as New Template and edit as needed.,B. Clone the existing template and modify as needed.,C. Save as New Version and edit as needed.,A
NO.31,Universal Containers wants support agents to use Agentforce to ask questions about its product tutorials and product guides. What should the AI Specialist do to meet this requirement?,A. Create a prompt template for product tutorials and guides.,B. Add an Answer Questions custom field in the product object for tutorial instructions.,C. Publish product tutorials and guides as Knowledge articles.,C
NO.33,"Universal Containers (UC) wants to offer personalized service experiences and reduce agent handling time with Al-generated email responses, grounded in Knowledge base. Which AI capability should UC use?",A. Einstein Email Replies,B. Einstein Service Replies for Email,C. Einstein Generative Service Replies for Email,B
NO.35,An AI specialist wants to leverage Record Snapshots grounding feature in a prompt template. What preparations are required?,A. Configure page layout of the master record type,B. Create a field set for all the fields to be grounded,C. Enable and configure dynamic form for the object,B
NO.36,Universal Containers (UC) wants to leverage Generative AI Salesforce functionality to reduce Service Agent handling time by providing recommended replies based on the existing Knowledge articles. On which AI capability should UC train the service agents?,A. Case Replies,B. Knowledge Replies,C. Service Replies,B
NO.37,Universal Containers needs to provide insights on the usability of Agents to drive adoption in the organization. What should the AI Specialist recommend?,A. Agent Analytics,B. Agentforce Analytics,C. Agent Studio Analytics,A
NO.38,Which part of the Einstein Trust Layer architecture leverages an organization's own data within a large language model (LLM) prompt to confidently return relevant and accurate responses?,A. Prompt Defense,B. Data Masking,C. Dynamic Grounding,C
NO.40,"Universal Containers (UC) is using Einstein Generative AI to generate an account summary. UC aims to ensure the content is safe and inclusive, utilizing the Einstein Trust Layer's toxicity scoring to assess the content's safety level. What does a safety category score of 1 indicate in the Einstein Generative Toxicity Score?",A. Not safe,B. Safe,C. Moderately safe,B
NO.41,Universal Containers is considering leveraging the Einstein Trust Layer in conjunction with Einstein Generative AI Audit Data. Which audit data is available using the Einstein Trust Layer?,A. Response accuracy and offensiveness score,B. Hallucination score and bias score,C. Masked data and toxicity score,C
NO.42,"Amid their busy schedules, sales reps at Universal Containers dedicate time to follow up with prospects and existing clients via email regarding renewals or new deals. They spend many hours throughout the week reviewing past communications and details about their customers before performing their outreach. Which standard Copilot action helps sales reps draft personalized emails to prospects by generating text based on previous successful communications?",A. Einstein Copilot Action: Find Similar Opportunities,B. Einstein Copilot Action: Draft or Revise Sales Email,C. Einstein Copilot Action: Summarize Record,B
NO.43,How does an Agent respond when it can't understand the request or find any requested information?,A. With a generated error message,B. With a general message asking the user to rephrase the request,"C. With a preconfigured message, based on the action type",C
NO.44,Universal Containers (UC) wants to improve the efficiency of addressing customer questions and reduce agent handling time with AI- generated responses. The agents should be able to leverage their existing knowledge base and identify whether the responses are coming from the large language model (LLM) or from Salesforce Knowledge. Which step should UC take to meet this requirement?,"A. Turn on Service AI Grounding, Grounding with Case, and Service Replies.","B. Turn on Service Replies, Service AI Grounding, and Grounding with Knowledge.",C. Turn on Service AI Grounding and Grounding with Knowledge.,B
NO.45,Universal Containers (UC) noticed an increase in customer contract cancellations in the last few months. UC is seeking ways to address this issue by implementing a proactive outreach program to customers before they cancel their contracts and is asking the Salesforce team to provide suggestions. Which use case functionality of Model Builder aligns with UC's request?,A. Product recommendation prediction,B. Customer churn prediction,C. Contract Renewal Date prediction,B
NO.46,After a successful implementation of Agentforce Sates Agent with sales users. Universal Containers now aims to deploy it to the service team. Which key consideration should the AI Specialist keep in mind for this deployment?,A. Assign the Agentforce for Service permission to the Service Cloud users.,B. Assign the standard service actions to Agentforce Service Agent.,C. Review and test standard and custom Agent topics and actions for Service Center use cases.,C
NO.47,What is the role of the large language model (LLM) in understanding intent and executing an Agent Action?,A. Identify the best matching topic and actions and correct order of execution,B. Determine a user's topic access and sort actions by priority to be executed,C. Find similar requested topics and provide the actions that need to be executed,A
NO.48,A data science team has trained an XGBoost classification model for product recommendations on Databricks. The AI Specialist is tasked with bringing inferences for product recommendations from this model into Data Cloud as a stand-alone data model object (DMO). How should the AI Specialist set this up?,"A. Create the serving endpoint in Databricks, then configure the model using Model Builder.","B. Create the serving endpoint in Einstein Studio, then configure the model using Model Builder.","C. Create the serving endpoint in Databricks, then configure the model using a Python SDK connector.",A
NO.50,"In Model Playground, which hyperparameters of an existing Salesforce-enabled foundational model can an AI Specialist change?","A. Temperature, Frequency Penalty, Presence Penalty","B. Temperature, Top-k sampling, Presence Penalty","C. Temperature, Frequency Penalty, Output Tokens",A
NO.52,"Universal Containers aims to streamline the sales team's daily tasks by using AI. When considering these new workflows, which improvement requires the use of Prompt Builder?",A. Populate an Al-generated time-to close estimation to opportunities,B. Populate an AI generated summary field for sales contracts.,C. Populate an Al generated lead score for new leads.,B
NO.54,Universal Containers (UC) plans to automatically populate the Description field on the Account object. Which type of prompt template should UC use?,A. Field Generation prompt template,B. Flex Prompt template,C. Sales Email prompt template,A
NO.55,What is the main purpose of Prompt Builder?,"A. A tool for developers to use in Visual Studio Code that creates prompts for Apex programming, assisting developers in writing code more efficiently.","B. A tool that enables companies to create reusable prompts for large language models (LLMs), bringing generative AI responses to their flow of work","C. A tool within Salesforce offering real-time Al-powered suggestions and guidance to users, Improving productivity and decision-making.",B
NO.56,Universal Containers plans to enhance the customer support team's productivity using AI. Which specific use case necessitates the use of Prompt Builder?,A. Creating a draft of a support bulletin post for new product patches,B. Creating an Al-generated customer support agent performance score,C. Estimating support ticket volume based on historical data and seasonal trends,A
NO.57,"Universal Containers has seen a high adoption rate of a new feature that uses generative AI to populate a summary field of a custom object, Competitor Analysis. All sales users have the same profile but one user cannot see the generative AlI-enabled field icon next to the summary field. What is the most likely cause of the issue?",A. The user does not have the Prompt Template User permission set assigned.,B. The prompt template associated with summary field is not activated for that user.,C. The user does not have the field Generative AI User permission set assigned.,C
NO.58,"Universal Containers wants to implement a solution in Salesforce with a custom UX that allows users to enter a sales order number. Subsequently, the system will invoke a custom prompt template to create and display a summary of the sales order header and sales order details. Which solution should an AI Specialist implement to meet this requirement?","A. Create a screen flow to collect sales order number and invoke the prompt template using the standard ""Prompt Template"" flow action.","B. Create a template-triggered prompt flow and invoke the prompt template using the standard ""Prompt Template"" flow action.","C. Create an autolaunched flow and invoke the prompt template using the standard ""Prompt Template"" flow action.",A
NO.59,"How should an organization use the Einstein Trust layer to audit, track, and view masked data?",A. Utilize the audit trail that captures and stores all LLM submitted prompts in Data Cloud.,"B. In Setup, use Prompt Builder to send a prompt to the LLM requesting for the masked data.",C. Access the audit trail in Setup and export all user-generated prompts.,A
NO.60,Universal Containers' current AI data masking rules do not align with organizational privacy and security policies and requirements. What should an AI Specialist recommend to resolve the issue?,A. Enable data masking for sandbox refreshes.,B. Configure data masking in the Einstein Trust Layer setup.,C. Add new data masking rules in LLM setup.,B
NO.61,Universal Containers (UC) is looking to enhance its operational efficiency. UC has recently adopted Salesforce and is considering implementing Einstein Copilot to improve its processes. What is a key reason for implementing Einstein Copilot?,A. Improving data entry and data cleansing,B. Allowing AI to perform tasks without user interaction,C. Streamlining workflows and automating repetitive tasks,C
NO.62,Universal Container (UC) has effectively utilized prompt templates to update summary fields on Lightning record pages. An admin now wishes to incorporate similar functionality into UC's automation process using Flow. How can the admin get a response from this prompt template from within a flow to use as part of UC's automation?,A. Invocable Apex,B. Flow Action,C. Einstein for Flow,B
NO.63,What does it mean when a prompt template version is described as immutable?,A. Only the latest version of a template can be activated.,B. Every modification on a template will be saved as a new version automatically.,C. Prompt template version is activated; no further changes can be saved to that version.,C
NO.64,"When configuring a prompt template, an AI Specialist previews the results of the prompt template they've written. They see two distinct text outputs: Resolution and Response. Which information does the Resolution text provide?",A. It shows the full text that is sent to the Trust Layer.,B. It shows the response from the LLM based on the sample record.,C. It shows which sensitive data is masked before it is sent to the LLM.,B
NO.65,An AI Specialist needs to create a Sales Email with a custom prompt template. They need to ground on the following data. Opportunity Products Events near the customer Tone and voice examples How should the AI Specialist obtain related items?,A. Call prompt initiated flow to fetch and ground the required data.,B. Create a flex template that takes the records in question as inputs.,C. Utilize a standard email template and manually insert the required data fields.,A
NO.66,"Universal Containers, dealing with a high volume of chat inquiries, implements Einstein Work Summaries to boost productivity. After an agent-customer conversation, which additional information does Einstein generate and fill, apart from the ""summary""'",A. Sentiment Analysis and Emotion Detection,B. Draft Survey Request Email,C. Issue and Revolution,C
NO.67,Universal Containers (UC) is discussing its AI strategy in an agile Scrum meeting. Which business requirement would lead an AI Specialist to recommend connecting to an external foundational model via Einstein Studio (Model Builder)?,A. UC wants to fine-tune model temperature.,B. UC wants a model fine-tuned using company data.,C. UC wants to change the frequency penalty of the model.,B
NO.68,Universal Containers is very concerned about security compliance and wants to understand: Which prompt text is sent to the large language model (LLM) * How it is masked * The masked response What should the AI Specialist recommend?,A. Ingest the Einstein Shield Event logs into CRM Analytics.,B. Review the debug logs of the running user.,C. Enable audit trail in the Einstein Trust Layer.,C
NO.69,An AI Specialist is considering using a Field Generation prompt template type. What should the AI Specialist check before creating the Field Generation prompt to ensure it is possible for the field to be enabled for generative AI?,A. That the field chosen must be a rich text field with 255 characters or more.,B. That the org is set to API version 59 or higher,C. That the Lightning page layout where the field will reside has been upgraded to Dynamic Forms,B
NO.70,Universal Containers (UC) recently rolled out Einstein Generative capabilities and has created a custom prompt to summarize case records. Users have reported that the case summaries generated are not returning the appropriate information. What is a possible explanation for the poor prompt performance?,A. The data being used for grounding Is incorrect or incomplete.,B. The prompt template version is incompatible with the chosen LLM.,C. The Einstein Trust Layer is incorrectly configured.,A
NO.72,Universal Containers is interested in using Call Explorer to quickly gain insights from meetings recorded by its sales team. What should the AI Specialist be aware of before enabling this feature?,"A. Call Explorer operates independently of Salesforce Knowledge, requiring no prior setup.",B. Custom Call Explorer actions need to be built before it can be configured.,C. Call Explorer requires the Einstein Conversation Insights permission set to be enabled.,C
NO.73,"Universal Containers (UC) is using Einstein Generative AI to generate an account summary. UC aims to ensure the content is safe and inclusive, utilizing the Einstein Trust Layer's toxicity scoring to assess the content's safety level. In the score of 1 indicate?","A. The response is the least toxic Einstein Generative AI Toxicity Scoring system, what does a toxicity category.",B. The response is not toxic.,C. The response is the most toxic.,C
NO.74,An Al Specialist is tasked with creating a prompt template for a sales team. The template needs to generate a summary of all related opportunities for a given Account. Which grounding technique should the Al Specialist use to include data from the related list of opportunities in the prompt template?,A. Use the merge fields to reference a custom related list of opportunities.,B. Use merge fields to reference the default related list of opportunities.,C. Use formula fields to reference the Einstein related list of opportunities.,B
NO.75,A Salesforce AI Specialist is reviewing the feedback from a customer about the ineffectiveness of the prompt template. What should the AI Specialist do to ensure the prompt template's effectiveness?,A. Monitor and refine the template based on user feedback.,B. Use the Prompt Builder Scorecard to help monitor.,C. Periodically change the templates grounding object.,B
NO.76,"Northern Trail Outfitters (NTO) wants to configure Einstein Trust Layer in its production org but is unable to see the option on the Setup page. After provisioning Data Cloud, which step must an Al Specialist take to make this option available to NTO?",A. Turn on Einstein Copilot.,B. Turn on Einstein Generative AI.,C. Turn on Prompt Builder.,B
NO.77,Leadership needs to populate a dynamic form field with a summary or description created by a large language model (LLM) to facilitate more productive conversations with customers. Leadership also wants to keep a human in the loop to be considered in their AI strategy. Which prompt template type should the AI Specialist recommend?,A. Sales Email,B. Field Generation,C. Record Summary,B
NO.78,Which use case is best supported by Salesforce Einstein Copilot's capabilities?,"A. Bring together a conversational interface for interacting with AI for all Salesforce users, such as developers and ecommerce retailers.",B. Enable Salesforce admin users to create and train custom large language models (LLMs) using CRM data.,C. Enable data scientists to train predictive AI models with historical CRM data using built-in machine learning capabilities,A
NO.79,An Al Specialist is tasked with configuring a generative model to create personalized sales emails using customer data stored in Salesforce. The AI Specialist has already fine-tuned a large language model (LLM) on the OpenAI platform. Security and data privacy are critical concerns for the client. How should the AI Specialist integrate the custom LLM into Salesforce?,A. Create an application of the custom LLM and embed it in Sales Cloud via iFrame.,B. Add the fine-tuned LLM in Einstein Studio Model Builder.,C. Enable model endpoint on OpenAl and make callouts to the model to generate emails.,B
NO.80,Where should the AI Specialist go to add/update actions assigned to a copilot?,"A. Copilot Actions page, the record page for the copilot action, or the Copilot Action Library tab",B. Copilot Actions page or Global Actions,"C. Copilot Detail page, Global Actions, or the record page for the copilot action",A
NO.81,"An AI Specialist turned on Einstein Generative AI in Setup. Now, the AI Specialist would like to create custom prompt templates in Prompt Builder. However, they cannot access Prompt Builder in the Setup menu. What is causing the problem?",A. The Prompt Template User permission set was not assigned correctly.,B. The Prompt Template Manager permission set was not assigned correctly.,C. The large language model (LLM) was not configured correctly in Data Cloud.,B
NO.82,"Universal Containers (UC) wants to enable its sales reps to explore opportunities that are similar to previously won opportunities by entering the utterance, ""Show me other opportunities like this one."" How should UC achieve this in Einstein Copilot?",A. Use the standard Copilot action.,B. Create a custom Copilot action calling a flow.,C. Create a custom Copilot action calling an Apex class.,A
NO.83,Universal Containers (UC) needs to improve the agent productivity in replying to customer chats. Which generative AI feature should help UC address this issue?,A. Case Summaries,B. Service Replies,C. Case Escalation,B
NO.84,An AI Specialist wants to ground a new prompt template with the User related list. What should the AI Specialist consider?,A. The User related list should have View All access.,B. The User related list needs to be included on the record page.,C. The User related list is not supported in prompt templates.,C
NO.85,Universal Container's internal auditing team asks an AI Specialist to verify that address information is properly masked in the prompt being generated. How should the AI Specialist verify the privacy of the masked data in the Einstein Trust Layer?,A. Enable data encryption on the address field,B. Review the platform event logs,C. Inspect the AI audit trail,C
NO.86,"Universal Containers needs a tool that can analyze voice and video call records to provide insights on competitor mentions, coaching opportunities, and other key information. The goal is to enhance the team's performance by identifying areas for improvement and competitive intelligence. Which feature provides insights about competitor mentions and coaching opportunities?",A. Call Summaries,B. Einstein Sales Insights,C. Call Explorer,C
NO.87,What is the primary function of the planner service in the Einstein Copilot system?,A. Generating record queries based on conversation history,B. Offering real-time language translation during conversations,C. Identifying copilot actions to respond to user utterances,C
NO.88,What is an appropriate use case for leveraging Agentforce Sales Agent in a sales context?,A. Enable a sates team to use natural language to invoke defined sales tasks grounded in relevant data and be able to ensure company policies are applied. conversationally and in the now or work.,B. Enable a sales team by providing them with an interactive step-by-step guide based on business rules to ensure accurate data entry into Salesforce and help close deals fatter.,"C. Instantly review and read incoming messages or emails that are then logged to the correct opportunity, contact, and account records to provide a full view of customer interactions and communications.",A
NO.89,An AI Specialist is setting up a new org and needs to ensure that users can create and execute prompt templates. The AI Specialist is unsure which roles are necessary for these tasks. Which permission sets should the AI Specialist assign to users who need to create and execute prompt templates?,A. Prompt Template Manager for creating templates and Data Cloud Admin for executing templates,B. Prompt Template Manager for creating templates and Prompt Template User for executing templates,C. Data Cloud Admin for creating templates and Prompt Template User for executing templates,B
NO.91,"An AI Specialist built a Field Generation prompt template that worked for many records, but users are reporting random failures with token limit errors. What is the cause of the random nature of this error?",A. The number of tokens generated by the dynamic nature of the prompt template will vary by record.,B. The template type needs to be switched to Flex to accommodate the variable amount of tokens generated by the prompt grounding.,C. The number of tokens that can be processed by the LLM varies with total user demand.,A
NO.92,Universal Containers implements three custom actions to get three distinct types of sales summaries for its users. Users are complaining that they are not getting the right summary based on their utterances. What should the AI Specialist investigate as the root cause?,A. Review that the custom action Is assigned to an Agent.,B. Review the action Instructions to ensure they are unique.,C. Ensure the input and output types are correctly chosen.,B
NO.96,"An AI Specialist has created a copilot custom action using flow as the reference action type. However, it is not delivering the expected results to the conversation preview, and therefore needs troubleshooting. What should the AI Specialist do to identify the root cause of the problem?","A. In Copilot Builder within the Dynamic Panel, turn on dynamic debugging to show the inputs and outputs.","B. Copilot Builder within the Dynamic Panel, confirm selected action and observe the values in Input and Output sections.","C. In Copilot Builder, verify the utterance entered by the user and review session event logs for debug information.",A
NO.98,"Universal Containers (UC) has implemented Generative AI within Salesforce to enable summarization of a custom object called Guest. Users have reported mismatches in the generated information. In refining its prompt design strategy, which key practices should UC prioritize?","A. Enable prompt test mode, allocate different prompt variations to a subset of users for evaluation, and standardize the most effective model based on performance feedback.","B. Create concise, clear, and consistent prompt templates with effective grounding, contextual role- playing, clear instructions, and iterative feedback.",C. Submit a prompt review case to Salesforce and conduct thorough testing In the playground to refine outputs until they meet user expectations.,B
NO.99,What is best practice when refining Einstein Copilot custom action instructions?,A. Provide examples of user messages that are expected to trigger the action.,B. Use consistent introductory phrases and verbs across multiple action instructions.,C. Specify the persona who will request the action.,A
NO.100,"Universal Containers (UC) wants to use the Draft with Einstein feature in Sales Cloud to create a personalized introduction email. After creating a proposed draft email, which predefined adjustment should UC choose to revise the draft with a more casual tone?",A. Make Less Formal,B. Enhance Friendliness,C. Optimize for Clarity,A
NO.101,Universal Containers (UC) wants to enable its sales team to get insights into product and competitor names mentioned during calls. How should UC meet this requirement?,"A. Enable Einstein Conversation Insights, assign permission sets, define recording managers, and customize insights with up to 50 competitor names.","B. Enable Einstein Conversation Insights, connect a recording provider, assign permission sets, and customize insights with up to 25 products.","C. Enable Einstein Conversation Insights, enable sales recording, assign permission sets, and customize insights with up to 50 products. ",C
NO.102,Universal Containers (UC) is implementing Einstein Generative AI to improve customer insights and interactions. UC needs audit and feedback data to be accessible for reporting purposes. What is a consideration for this requirement?,A. Storing this data requires Data Cloud to be provisioned.,B. Storing this data requires a custom object for data to be configured.,C. Storing this data requires Salesforce big objects.,A
NO.103,Universal Containers (UC) is looking to improve its sales team's productivity by providing real-time insights and recommendations during customer interactions. Why should UC consider using Agentforce Sales Agent?,A. To track customer interactions for future analysis,B. To automate the entire sales process for maximum efficiency,C. To streamline the sales process and increase conversion rates,C
NO.104,An AI Specialist is creating a custom action for Agentforce. Which setting should the AI Specialist test and iterate on to ensure the action performs as expected?,A. Action Name,B. Action Input,C. Action Instructions,C
NO.105,An AI Specialist needs to create a prompt template to fill a custom field named Latest Opportunities Summary on the Account object with information from the three most recently opened opportunities. How should the AI Specialist gather the necessary data for the prompt template?,A. Create a flow to retrieve the opportunity information.,B. Select the Account Opportunity object as a resource when creating the prompt template.,C. Select the latest Opportunities related list as a merge field.,A
NO.106,"What is an AI Specialist able to do when the ""Enrich event logs with conversation data"" setting in Einstein Copilot is enabled?",A. View the user click path that led to each copilot action.,B. View session data including user Input and copilot responses for sessions over the past 7 days.,C. Generate details reports on all Copilot conversations over any time period.,B
NO.108,An AI Specialist is creating a custom action in Einstein Copilot. Which option is available for the AI Specialist to choose for the custom copilot action?,A. Apex trigger,B. SOQL,C. Flows,C
NO.109,"The AI Specialist of Northern Trail Outfitters reviewed the organization's data masking settings within the Configure Data Masking menu within Setup. Upon assessing all of the fields, a few additional fields were deemed sensitive and have been masked within Einstein's Trust Layer. Which steps should the AI Specialist take upon modifying the masked fields?",A. Turn off the Einstein Trust Layer and turn it on again.,B. Test and confirm that the responses generated from prompts that utilize the data and masked data do not adversely affect the quality of the generated response,C. Turn on Einstein Feedback so that end users can report if there are any negative side effects on AI features.,B
NO.110,A sales rep at Universal Containers is extremely busy and sometimes will have very long sales calls on voice and video calls and might miss key details. They are just starting to adopt new generative AI features. Which Einstein Generative AI feature should an AI Specialist recommend to help the rep get the details they might have missed during a conversation?,A. Call Summary,B. Call Explorer,C. Sales Summary,A
NO.111,"Universal Containers wants to reduce overall agent handling time minimizing the time spent typing routine answers for common questions in-chat, and reducing the post-chat analysis by suggesting values for case fields. Which combination of Einstein for Service features enables this effort?",A. Einstein Service Replies and Work Summaries,B. Einstein Reply Recommendations and Case Summaries,C. Einstein Reply Recommendations and Case Classification,C
NO.113,Universal Containers recently launched a pilot program to integrate conversational AI into its CRM business operations with Einstein Copilot. How should the AI Specialist monitor Copilot's usability and the assignment of actions?,A. Run a report on the Platform Debug Logs.,B. Query the Copilot log data using the metadata API.,C. Run Einstein Copilot Analytics.,C
